Job No,Institution,Job Title,List ID,financial,identity,customers,data,institutions,market,services,platforms,customer,digital,bank,traditional,key,risk,insurance,products,investors,alternative,payment,investment,banks,economic,payments,forum,capital,implications,uncertainties,future,time,access,systems,providers,management,based,insurers,transactions,processes,system,findings,lending,provide,dlt,technology,process,potential,business,regulatory,state,scenario,opportunities,risks,large,states,user,regulators,users,intermediaries,solutions,incumbents,high,asset,service,introduction,global,conclusion,platform,smart,fis,cost,credit,models,trade,industry,transfer,trading,real,transaction,funding,automated,markets,equity,product,case,individual,online,ecosystem,attributes,firms,infrastructure,scale,entities,ability,increased,mobile,current,wealth,role,assets,investor,deloitte
1,Huntington Bancshares,Decision Engine Analyst ,1,1,1,2,2,0,0,1,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,1,1,0,0,1,1,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
2,Huntington Bancshares,Branch Service Manager ,1,0,1,3,0,0,0,3,0,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
3,Huntington Bancshares,"Consumer Bank Sales, Strategy & Services Director ",1,1,1,0,0,0,1,1,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4,Huntington Bancshares,Branch Manager ,1,2,1,4,0,0,1,5,0,5,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,0,3,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5,Huntington Bancshares,Relationship Banker III - Registered ,1,2,1,5,0,0,0,5,0,5,0,1,0,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,2,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6,Huntington Bancshares,Practice Finance Financial Pulse Specialist ,1,1,1,0,0,0,0,1,0,6,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,Huntington Bancshares,Branch Relationship Banker 1 ,1,2,1,6,0,0,0,4,0,7,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,0,3,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
8,Huntington Bancshares,Commerical Credit Analyst ,1,3,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
9,Huntington Bancshares,Branch Relationship Banker I ,1,2,1,6,0,0,0,4,0,7,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,0,3,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
10,Huntington Bancshares,Senior IT Internal Auditor: Robotic Process Automation ,1,0,1,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,1,0,0,0,0,0,5,8,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
