Job Number,Job Title,Institution,URL,payment,financial,transaction,customer,manage,trade,risk,platform,digital,technology,insurance,investment,market,bank,asset,economic,data,capital,regulatory,business,service,institution,equity,lending,user,automate,system,fund,identity,information,infrastructure,fintech,product,global,model,solution,crowdfunding,future,innovation,industry,network,contract,uncertainty,credit,development,attribute,loan,security,forum,cost,authentication,analytic,ledger,ecosystem,liquidity,intermediaries,process,legal,distributed,firm,online,experience,quantitative,loss,entity,revenue,settlement,operation,bitcoin,cloud,retail,blockchain,governance,bond,validation,share,project,cryptocurrency,wealth,fraud,venture,customization,diligence,order,algorithmic,collateral,liability,audit,framework,api,strategy,demand,developer,mobile,account,ai,license,sales,policy,tax,Is Job Fintech
3202,Marketing Campaign Analytics Data Scientist - Consumer Bank,JP Morgan,https://jobs.jpmorganchase.com/ShowJob/Id/180766/Marketing-Campaign-Analytics-Data-Scientist-Consumer-Bank/,0,0,0,0,12,0,0,0,1,1,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,39,0,0,0,0,0
5316,CIB - Treasury Services - North America Corporate Trade & Supply Chain Product Manager - VP,JP Morgan,https://jobs.jpmorganchase.com/ShowJob/Id/197848/CIB-Treasury-Services-North-America-Corporate-Trade-Supply-Chain-Product-Manager-VP/,2,0,0,1,5,0,1,0,0,1,0,3,3,4,1,0,1,1,0,8,2,2,0,0,0,0,3,0,0,0,0,0,2,1,0,1,0,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,33,0,0,0,0,0
6689,CCB - Portfolio Risk Review - Lending Risk Analyst - Tempe  AZ (March 2019),JP Morgan,https://jobs.jpmorganchase.com/ShowJob/Id/194636/CCB-Portfolio-Risk-Review-Lending-Risk-Analyst-Tempe -AZ-(March-2019)/,0,2,0,2,16,0,2,2,0,4,0,0,4,0,8,0,4,2,4,18,8,2,0,0,0,0,4,2,0,2,0,0,2,6,2,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,8,4,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,0,0,0,6,4,2,2,4,0,0,12,30,0,0,4,0,0
10296,Financial Advisor Trainee 1 - Wealth Brokerage Services,WellsFargo,https://www.wellsfargojobs.com/job/st-petersburg/financial-advisor-trainee-1-wealth-brokerage-services/1251/10814699,0,10,0,2,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,3,3,1,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,3,2,0,0,0
10852,Digital Media Leader (Digital Marketing Manager 3),WellsFargo,https://www.wellsfargojobs.com/job/saint-louis-park/digital-media-leader-digital-marketing-manager-3/1251/10761456,0,2,0,6,7,0,1,1,31,0,0,3,11,0,0,0,1,0,0,16,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,1,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,28,0,3,0,0,0
11006,Valuation Specialist 1,WellsFargo,https://www.wellsfargojobs.com/job/portland/valuation-specialist-1/1251/10735911,0,5,4,6,3,0,5,0,0,3,1,2,2,2,1,0,1,0,1,2,4,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,27,1,0,0,0,0
11358,Operational Initiatives Manager 2 (Leader of Retail Analytics Home Lending),WellsFargo,https://www.wellsfargojobs.com/job/san-francisco/operational-initiatives-manager-2-leader-of-retail-analytics-home-lending/1251/10657440,1,5,0,12,8,0,1,0,0,0,1,1,5,1,1,0,4,0,2,12,5,0,2,5,0,0,0,3,0,0,0,0,9,1,1,0,0,0,0,1,1,0,0,1,2,0,6,0,0,0,0,8,0,0,0,0,1,0,1,1,0,9,2,0,1,0,0,10,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,26,0,11,1,0,0
11921,IPB U.S. PICs & Trusts/Source of Wealth SME,Citi Group,https://jobs.citi.com/job/miami/ipb-u-s-pics-and-trusts-source-of-wealth-sme/287/8386916,1,3,2,4,3,0,3,0,0,0,0,1,2,7,1,1,0,1,2,6,12,2,0,1,0,0,2,0,0,0,0,0,3,2,0,3,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,4,26,0,0,0,1,0
11958,Client Service Officer- Spanish,Citi Group,https://jobs.citi.com/job/new-york/client-service-officer-spanish/287/9013843,3,5,15,3,8,2,0,2,0,1,0,6,5,16,1,1,1,3,4,10,19,2,0,1,0,0,4,6,0,4,1,0,11,1,0,4,0,0,0,1,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,1,13,6,0,1,0,3,0,1,3,0,0,7,0,0,0,0,2,0,1,0,0,0,2,1,0,0,0,1,0,0,0,3,1,3,0,2,0,0,15,28,1,4,2,1,0
12002,Director  Head of Retail Risk Strategy and Oversight,Citi Group,https://jobs.citi.com/job/new-york/director-head-of-retail-risk-strategy-and-oversight/287/9467582,1,2,1,1,16,0,17,1,0,7,0,1,1,3,1,1,13,1,1,7,3,1,0,1,1,0,7,0,0,0,5,0,1,3,1,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,13,0,0,1,0,1,0,0,0,0,0,1,0,0,3,0,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,32,0,0,0,0,0
