song,sadness,joy,analytical,target
喜欢你,0.688923,0.664950,0.00000,1
越难越爱,0.564981,0.694766,0.00000,0
多远都要在一起,0.565116,0.665297,0.536494,1
红日,0.606664,0.528863,0.880644,1
光辉岁月,0.599139,0.501519,0.00000,1
今天你要嫁给我,0.667948,0.666117,0.00000,1
海芋恋,0.625493,0.744573,0.00000,1
甜甜的,0.000000,0.695544,0.00000,1
青春纪念册,0.000000,0.774177,0.518298,1
一个像夏天一个像秋天,0.572018,0.585796,0.683846,1
奔跑,0.000000,0.630808,0.511728,0
心如刀割,0.58384,0.680206,0.609032,0
过火,0.727683,0.695966,0.683663,0
你不知道的事,0.661171,0.651805,0.675031,0
明明就,0.000000,0.628542,0.63037,0
倾城,0.644295,0.696204,0.63037,0
最冷的一天,0.000000,0.647149,0.569618,0
孤独患者,0.666306,0.618635,0.550773,0
给我一个理由忘记,0.646752,0.70995,0.714973,0
消愁,0.000000,0.568379,0.00000,0
