Word,Count
financial,933
identity,585
customers,584
data,545
institutions,528
market,496
services,486
platforms,422
customer,411
digital,388
bank,374
traditional,370
key,367
risk,342
insurance,338
products,336
investors,306
alternative,304
payment,302
investment,296
banks,286
economic,279
payments,275
forum,273
capital,264
implications,263
uncertainties,259
future,252
time,251
access,246
systems,241
providers,234
management,232
based,227
insurers,224
transactions,223
processes,222
system,213
findings,212
lending,211
provide,210
dlt,205
technology,204
process,204
potential,198
business,198
regulatory,198
state,195
scenario,195
opportunities,189
risks,188
large,187
states,184
user,183
regulators,182
users,182
intermediaries,181
solutions,177
incumbents,175
high,173
asset,172
service,171
introduction,170
global,166
conclusion,165
platform,164
smart,158
fis,158
cost,152
credit,152
models,151
trade,150
industry,149
transfer,148
trading,148
real,147
transaction,144
funding,143
automated,142
markets,140
equity,139
product,138
case,138
individual,138
online,137
ecosystem,136
attributes,135
firms,134
ing,133
infrastructure,131
scale,128
entities,127
ability,127
increased,126
mobile,125
current,123
wealth,121
role,119
assets,117
investor,117
deloitte,116
banking,116
distributed,116
low,116
costs,114
impact,112
critical,112
core,112
focus,111
sources,110
network,109
contract,109
activities,108
lenders,107
distribution,106
capabilities,104
offer,104
benefits,104
project,103
number,103
money,102
development,101
additional,100
schemes,100
experience,99
funds,99
lead,98
compliance,98
conditions,98
retrieved,96
individuals,95
innovation,94
shift,94
crowdfunding,94
control,94
loan,93
settlement,93
increasing,92
summary,91
create,90
underwriting,90
private,89
improve,89
group,88
retail,88
ind,88
gain,88
increase,87
limited,86
loss,86
emerging,86
lower,86
managers,86
directly,86
entity,85
fintechs,85
innovations,85
competitive,85
existing,85
connected,85
required,85
companies,84
card,84
cards,83
level,82
set,82
ledger,82
chain,81
growth,80
studies,80
faster,80
legal,79
partnerships,79
today,79
improved,79
mass,76
channels,76
enable,75
single,75
view,75
share,74
competition,73
model,73
account,73
investments,73
head,72
technologies,72
merchants,72
parties,72
change,71
claims,71
players,70
party,70
life,70
personal,70
support,69
reduce,69
sellers,69
adoption,68
increasingly,68
providing,68
ceo,68
standards,67
small,66
open,66
supporting,66
loans,66
raising,66
reduced,66
buyers,66
proxy,66
making,65
start,65
accounts,65
transparency,65
efficiency,65
approach,64
strategy,64
multiple,64
exchange,64
regulator,64
report,63
solution,63
incumbent,63
borrowers,63
authentication,63
government,62
order,62
businesses,62
trust,62
evidence,62
fees,62
result,62
post,62
counterparty,62
strategies,61
execution,61
counterparties,61
offerings,60
pressure,60
external,60
networks,60
interest,60
lack,60
implementation,60
requirements,60
higher,59
driven,59
develop,59
trusted,59
public,58
experts,58
questions,58
member,58
landscape,58
rise,58
demand,58
director,57
ownership,57
require,57
niche,57
rps,57
continue,56
complete,56
manual,56
venture,56
stakeholders,55
savings,55
smaller,55
idps,55
entrants,54
enabling,54
tools,54
visibility,54
specific,54
institutional,53
central,53
social,53
custodian,53
creating,52
advice,52
chief,52
executive,52
including,52
deposits,52
ensure,52
processing,52
deliver,52
facilitate,52
participants,51
security,51
cross,51
team,50
details,50
physical,50
liquidity,50
scenarios,50
company,49
regulations,49
build,49
context,49
rails,49
points,49
continued,49
cash,49
relationships,48
established,48
automation,48
compete,48
return,48
early,48
attribute,48
tech,47
direct,47
robo,47
leading,47
marketplace,47
commercial,47
net,47
contracts,47
clients,46
structure,46
analysis,46
point,46
human,46
offering,46
finance,46
corporation,46
sector,45
driving,45
cases,45
major,45
price,45
connectivity,45
revenue,45
benefit,45
institution,45
reducing,45
stage,45
rehypothecation,45
disruptive,44
characteristics,44
term,44
devices,44
regulation,44
history,44
leveraging,44
diligence,44
sender,44
coco,44
matter,43
work,43
description,43
allowing,43
delivery,43
standard,43
shared,43
shifting,43
local,43
claim,43
partner,42
challenge,42
machines,42
move,42
usage,42
voting,42
face,41
channel,41
manage,41
base,41
creation,41
clearing,41
insurer,41
externalisation,41
servicing,41
disruption,40
officer,40
audit,40
merchant,40
relationship,40
sophisticated,40
uk,39
partners,39
growing,39
consumers,39
canada,39
sharing,39
developed,39
environment,39
drive,39
policies,39
rp,39
subject,38
form,38
successful,38
leverage,38
fraud,38
stored,38
source,38
highly,38
decentralised,38
fintech,37
decision,37
corporate,37
building,37
adjudication,37
liability,37
collection,37
applications,37
loyalty,37
bond,37
sell,37
goods,37
international,36
secure,36
advisory,36
greater,36
ai,36
efforts,36
strong,36
quantitative,36
smarter,36
functions,36
bonds,36
trades,36
idp,36
managing,35
forces,35
deep,35
choose,35
receive,35
larger,35
review,35
invest,35
meet,35
virtual,35
challenges,35
options,35
collateral,35
determine,34
pay,34
broader,34
provider,34
evolve,34
monitor,34
easily,34
offers,34
advantages,34
analytics,34
legacy,34
difficult,34
consolidation,34
track,34
records,34
monitoring,34
levels,34
preferences,34
worth,34
flow,34
transparent,34
seed,34
years,33
exist,33
margins,33
kyc,33
expand,33
position,33
choice,33
pain,33
narrative,33
currency,33
coverage,33
secondary,33
participate,33
provisioning,33
provided,32
securities,32
opportunity,32
outcomes,32
segments,32
changing,32
lines,32
accurate,32
operational,32
algorithmic,32
assessment,31
tax,31
ecosystems,31
total,31
profit,31
effective,31
rates,31
fee,31
improving,31
response,31
full,31
accuracy,31
statements,31
trigger,31
correspondent,31
traders,31
arranger,31
involved,30
professional,30
operating,30
fund,30
understand,30
entry,30
advisors,30
profitability,30
health,30
privacy,30
primary,30
streamlined,30
enables,30
syndicate,30
working,29
understanding,29
focused,29
power,29
long,29
range,29
national,29
grow,29
effectively,29
machine,29
choices,29
governance,29
standardized,29
adopt,29
paints,29
valuable,29
volume,29
billion,29
requires,29
relying,29
basis,28
swift,28
relevant,28
blockchain,28
innovative,28
ings,28
advanced,28
protection,28
designed,28
trends,28
sufficient,28
initiate,28
framework,27
stakeholder,27
serve,27
internal,27
purchase,27
reporting,27
partnership,27
buy,27
seamless,27
remain,27
country,27
economy,27
selection,27
affluent,27
financing,27
events,27
electronic,27
beneficiary,27
issues,26
llp,26
analyses,26
office,26
rapidly,26
rapid,26
barriers,26
automate,26
differentiate,26
aggregation,26
evolution,26
consumer,26
built,26
common,26
big,26
cashless,26
income,26
frequency,26
disaggregation,26
pricing,26
operations,26
perform,26
transform,26
request,26
insuree,26
acknowledgements,25
united,25
responsible,25
members,25
morgan,25
launched,25
enabled,25
success,25
origination,25
connections,25
accessible,25
find,25
organization,25
meant,25
issuers,25
remaining,25
represent,25
increases,25
size,25
community,25
errors,25
performance,25
defined,25
broker,25
citizens,25
documents,25
transferred,25
syndicated,25
expertise,24
rules,24
person,24
senior,24
manufacturers,24
ion,24
identify,24
store,24
economies,24
behaviour,24
engagement,24
balance,24
cloud,24
pressures,24
signs,24
limiting,24
decrease,24
record,24
creates,24
popularity,24
governments,24
limits,24
advantage,24
quality,24
resources,24
supply,24
efficient,24
factors,24
executed,24
multi,24
founder,24
statement,24
capacity,23
protocols,23
returns,23
expectations,23
improvements,23
interact,23
amount,23
play,23
countries,23
areas,23
transfers,23
experiences,23
event,23
intermediary,23
flexible,23
integration,23
sophistication,23
algorithms,23
knowledge,23
complex,23
ensuring,23
decisions,23
default,23
wallet,23
commoditised,23
savers,23
ratio,23
interviews,22
detailed,22
action,22
leaders,22
john,22
portfolio,22
crisis,22
ways,22
innovators,22
function,22
rate,22
technological,22
engage,22
seeking,22
wide,22
manufacturing,22
distributors,22
brand,22
day,22
match,22
occur,22
patterns,22
top,22
playing,22
losses,22
comprehensive,22
connect,22
insurtechs,22
interests,22
exposure,22
population,22
integrated,22
client,22
eliminating,22
side,22
capability,22
natural,22
interoperability,22
terms,22
importer,22
import,22
absorption,22
series,21
collaboration,21
organizations,21
reuters,21
establish,21
techs,21
dependent,21
streamline,21
connecting,21
place,21
retailers,21
seek,21
design,21
purpose,21
amazon,21
house,21
times,21
emerged,21
depending,21
degree,21
wallets,21
groups,21
lose,21
participation,21
telematics,21
margin,21
operator,21
question,21
projects,21
proof,21
centralized,21
consent,21
export,21
votes,21
insights,20
leadership,20
contact,20
guidance,20
president,20
mastercard,20
thomson,20
illustrate,20
held,20
error,20
connection,20
location,20
reach,20
rely,20
collect,20
apps,20
achieve,20
examples,20
addition,20
storage,20
investing,20
overview,20
field,20
hedge,20
created,20
ig,20
ita,20
stickiness,20
lend,20
speed,20
agencies,20
classes,20
equ,20
ity,20
crowdfund,20
frastructure,20
profiles,20
historical,20
generated,20
submission,20
percentage,20
peer,20
address,19
ongoing,19
consulting,19
workshops,19
behaviours,19
acquire,19
expansion,19
tracking,19
european,19
psd,19
longer,19
fewer,19
developing,19
target,19
features,19
enforcement,19
free,19
australia,19
tailored,19
generation,19
area,19
typically,19
methods,19
poor,19
emerge,19
considered,19
news,19
facilitates,19
fi,19
standardised,19
calculation,19
customs,19
affect,18
michael,18
visa,18
proliferation,18
capture,18
add,18
force,18
proposition,18
jurisdictions,18
problems,18
majority,18
agreement,18
incentives,18
types,18
erosion,18
age,18
fixed,18
traditionally,18
agreements,18
differentiated,18
volatility,18
issued,18
aspects,18
condition,18
crowd,18
behalf,18
topic,18
assurance,18
concept,18
dimensions,18
decreased,18
empowerment,18
personalised,18
pledged,18
exporter,18
depiction,18
cast,18
forward,17
rob,17
property,17
shape,17
strategic,17
manager,17
represents,17
clear,17
fully,17
reports,17
suite,17
adapt,17
identified,17
sets,17
facing,17
aggregate,17
scope,17
sustainable,17
participating,17
variety,17
suited,17
complexity,17
takeaways,17
acceptance,17
background,17
average,17
generate,17
alternatives,17
policy,17
