,Url,Job Title,Post Date,Job Type,Location,Experience,Job_Desciption
0,https://careers.huntington.com/en-US/job/J3V2NR6JL1JZ790D36L,Decision Engine Analyst ,1/22/2019,Full-Time,Columbus,Not Specified,"
Job Description
Decision Engine AnalystOur Enterprise Analytics department is growing, and we're looking for an outstanding candidate to join our Decision Engine team. Huntington is building a next-generation decision engine for messaging to customers and prospects with one-to-one personalized marketing techniques. This team member will collaborate on the design, development, and implementation of an enterprise-wide decision engine. Starting with the current state, he or she will develop a strategy and the roadmap to improve Huntington's capabilities. They will partners with various segments (e.g., Deposits, Credit Card, Lending, Private Banking) to empower those segments to customize and optimize the sales process with the end result of making sales easier and more profitable for bankers and more relevant and better for customers.Key ResponsibilitiesCollaborate with the Huntington sales team from the Consumer and Business Bank and the Private Bank to ensure that the decision engine supports them in their goals.Create a strategy and roadmap for the necessary technology to enable personalized one-to-one marketing across all Huntington's sales channels and touchpoints. Execute on that strategy.Plan and execute multiple analytic projects at once in response to business needs.Synthesize findings into senior level presentations that convey insights and recommendations through compelling storytelling, while maintaining a balance between the big picture and mastery of details.Champion corporate policies and procedures. Ensure compliance with legal and regulatory requirements. Work with management to develop and apply effective risk management processes and controls.Basic Qualifications:A Master's degree in Business, Economics, Decision Sciences, Statistics, Operations Research, Applied Mathematics or Engineering.A minimum of 5 years of work experience in direct marketing, digital marketing, risk management or experimental design in either the financial services, retail, healthcare, telecommunications or entertainment industries.A minimum of 3 years of experience with at least one data mining / statistical analysis tool (i.e. R, python, or SAS).A minimum of 5 years of experience with Microsoft Word, PowerPoint, and Excel.Preferred Qualifications:Experience with decision engines in a retail context.3 years of experience with SQL queries of large databases such as Oracle, DB2, SQL Server, Teradata, and Hadoop.Experience developing and applying statistical or machine learning methods in a corporate environment through applications such as R, python, SAS, SPSS, S, S-PLUS, or Stata.Fluent in programming languages such as Python, Java, or C++ in a data mining context, and experience building web-based applications or dashboards using R, python, HTML, CSS, Perl, and JavaScript.Excellent written and verbal communication skills with a proven ability to interact effectively across all organizational levels.Progressive thinker and problem solver, with a strong ability to manage ambiguity/complexity.Work effectively in teams as well as independently across multiple tasks while meeting aggressive timelines.Experience working in a consumer-centric company and with teams of technical professionals in a cross-functional environment.Ability to embrace change, constructively negotiate constraints, and effectively leverage resources to create exceptional outcomes. Consistently model and inspire high levels of professional demeanor and integrity. EEO/AA Employer/Minority/Female/Disability/Veteran/Sexual Orientation/Gender Identity Tobacco-Free Hiring Practice: Visit Huntington's Career Web Site for more details. Huntington does not accept solicitation from Third Party Recruiters for any position.
"
1,https://careers.huntington.com/en-US/job/J3W7396NCDTVN2BGQPN,Branch Service Manager ,2/7/2019,Full-Time,Green Bay,Not Specified,"
Job Description
As a Branch Service Manager you will assist branch management in leading the service and operations of the branch. By leading and mentoring the team, you will drive excellent customer service and the effective resolution of customer issues. This is an excellent career move for a teller wanting to get into management.As a Branch Service Manager, your primary responsibilities are:Welcomes and establishes relationships with customers.Ability to perform at a high level, all expectations of a teller while providing exemplary customer service.Educates customers on how to leverage technology (e.g. ATM, Kiosk, Mobile, On-Line) to conveniently process their transactions.Educates and refers customers to other areas of the bank to deepen relationships and build strong internal partnerships.Motivates, coaches and develops colleagues while employing a disciplined performance management process.Adhering to all operational, security, risk and regulatory policies and procedures. After receiving training, you will be expected to demonstrate acumen for banking, transaction process, cash handling, customer service, operations, systems technology and communication while maintaining up to date knowledge on all products, services, technology and policies.Assists in finding and selecting top talent for the branch that are well suited for Huntington's culture.Basic QualificationsHigh School Diploma1 year of leading or managing a team OR1 year of teller experience Preferred QualificationsCareer minded individuals that want to join an organization where they can gain experience and build a career. Huntington provides career paths and development plans to get you where you want to go.Bachelor's Degree.Comfort with technology such as mobile services and online banking services is a plus. EEO/AA Employer/Minority/Female/Disability/Veteran/Sexual Orientation/Gender Identity Tobacco-Free Hiring Practice: Visit Huntington's Career Web Site for more details. Huntington does not accept solicitation from Third Party Recruiters for any position.
"
2,https://careers.huntington.com/en-US/job/J3M4VW79052VSRQLD93,"Consumer Bank Sales, Strategy & Services Director ",2/7/2019,Full-Time,Columbus,Not Specified,"
Job Description
Consumer Bank Sales, Strategy & Services DirectorJob Description:Plays a key role in defining the strategic direction for the Retail Branch segment sales goals and objectives.Align Retail Branch Sales & Service Support goals and plans to support strategic initiatives and Regional Banking business goal achievement though regular discussion with the senior business leaders and essential partners.Lead Retail Branch Operations support teams who manage procedures, adhere to policy and regulations, and provide overall operations support within the Branch infrastructure.Facilitate sales campaigns, blitzes, contests, etc. to achieve intended financial results.Provide project management support to the business segment on complex, highly visible or cross-functional initiatives that generate revenue and/or provide cost saving opportunities.Direct and guide colleague training initiatives working in partnership with Performance Development team. Administer and execute incentive plans and systems for the segment aligning with Huntington's corporate guidance.Directs the collection and review of branch service, sales, and credit/loan metrics used to monitor and evaluate the effectiveness of branches.Oversees facilitation of branch staff development, improvement of service delivery, and driving revenue.In partnership with senior leaders, leads and directs the planning, coordination, and implementation of key strategic project initiatives for the overall Consumer Banking Segment.Evaluates and develops strategic plans, new market initiatives and analyzes business opportunities in both new and existing markets to ensure continued successful growth and profitability.Identifies, analyzes and compares alternative opportunities for entering new markets and adopting new technologies.Conducts periodic reviews of achievements and performance versus strategic plans.Basic Qualifications:Bachelor's Degree10+ years of experience in Retail Branch Banking leadership roles, Consumer Operations & Risk, P&L management, Sales and Service StrategyPreferred Qualifications:Strong management and mentoring skillsAbility to resolve issues and drive performanceExcellent time management and organizational skillsExcellent client management skillsInteract professionally and effectively with clients, business partners, and peers at all levelsGoal-orientedWell-developed verbal and written communication skillsCritical thinking, problem solving, and analytical abilityResourceful EEO/AA Employer/Minority/Female/Disability/Veteran/Sexual Orientation/Gender Identity Tobacco-Free Hiring Practice: Visit Huntington's Career Web Site for more details. Huntington does not accept solicitation from Third Party Recruiters for any position.
"
3,https://careers.huntington.com/en-US/job/J3P64D79D6C783X92FC,Branch Manager ,2/7/2019,Full-Time,Seville,Not Specified,"
Job Description
A Branch Manager is responsible for the management of a branch. As a leader in our branch network, you will drive all facets of sales, service and operations by motivating your team to achieve sales targets, acquire new consumer and business customers, initiate referrals to partners and deepen all existing customer relationships. Your success will be recognized because of how you proactively drive business inside and outside the branch. Your responsibilities include:Managing a portfolio of high value consumer and business customers. Leading your team in the process of referring customers to other areas of the bank in order to deepen relationships and build strong internal partnerships Motivating your team to provide excellent customer service and effectively resolving customer issues.Proactively driving sales through assigned customer portfolio, pre-set appointments, outside calling, Centers of Influence, referrals from customers and other partners.Leveraging available tools and technology to drives sales and service and ensure your team does the same.Maintaining knowledge and educating team on all products, services, technology and policies.Maintaining an active role in the community and developing key business and community relationships.Managing the overall operations of the branch and ensuring adherence to all operations, security, risk and regulatory policies and procedures.Demonstrating acumen in sales, customer service, relationship management, banking, investments, consumer lending, business banking, business lending, communication and presentation.Actively overseeing the recruitment/hiring process ensuring assigned market is staffed with colleagues suitable for Huntington's culture.Basic QualificationsHigh School Diploma or GED3 years of sales management experience in retail banking, financial services or goal driven retail sales. OR Bachelor's Degree 2 year of sales management experience in retail banking, financial services or goal driven retail sales.Preferred QualificationsBachelor's Degree Strong comfort level with technology such as mobile services and online banking services is a plus. EEO/AA Employer/Minority/Female/Disability/Veteran/Sexual Orientation/Gender Identity Tobacco-Free Hiring Practice: Visit Huntington's Career Web Site for more details. Huntington does not accept solicitation from Third Party Recruiters for any position.
"
4,https://careers.huntington.com/en-US/job/J3N3MH6GB798Q5RCYFH,Relationship Banker III - Registered ,2/7/2019,Full-Time,Newark,Not Specified,"
Job Description
A Relationship Banker III plays a key role in helping our consumer and business customers by building relationships that provide opportunities to proactively recommend appropriate deposit, loan and other banking products. Your responsibilities include:Proactively driving sales through walk-in customers, pre-set appointments, referrals from customers and other branch colleagues and partners.Educating and referring customers to other areas of the bank to deepen relationships and build strong internal partnerships.Being proficient in understanding and educating customers on consumer deposit products and consumer lending.Providing excellent customer service and effectively resolving customer issues.Adhering to all operational, security, risk and regulatory policies and procedures.Demonstrating acumen in sales, customer service, relationship management, banking, investments, consumer lending, business banking, business lending, communication and presentation.Maintaining your knowledge of all products, services, technology and policies. Basic Qualifications High School Diploma or GED 2 years customer service and sales in banking, financial services or goal driven retail sales.FINRA Licenses (required): Series 6 or 7Life Insurance (Health Insurance is optional at hire but must be obtained within 120 days of start date)63 or 66 (Optional at hire but must be obtained within 120 days of start date)Or Bachelor's Degree 1 year customer service and sales banking, financial services or goal driven retail sales. FINRA Licenses (required): Series 6 or 7Life Insurance (Health Insurance is optional at hire but must be obtained within 120 days of start date)63 or 66 (Optional at hire but must be obtained within 120 days of start date)Preferred QualificationsCareer minded individuals that want to join an organization where they can gain experience and build a career. Huntington provides career paths and development plans to get you where you want to go. Bachelor's Degree Comfort with technology such as mobile services and online banking services are a plus. EEO/AA Employer/Minority/Female/Disability/Veteran/Sexual Orientation/Gender Identity Tobacco-Free Hiring Practice: Visit Huntington's Career Web Site for more details. Huntington does not accept solicitation from Third Party Recruiters for any position.
"
5,https://careers.huntington.com/en-US/job/J3T0XW65WG9W0HG989K,Practice Finance Financial Pulse Specialist ,2/7/2019,Full-Time,Columbus,Not Specified,"
Job Description
Owns primary responsibility for the monitoring of first time business owners for startup and acquisition businesses in the Business Banking specialty lending space, including Dental, Medical and Veterinarian Practices.Reviews key performance metrics (KPIs) provided by the business owner and providing guidance and resources to ensure the clients' success.Gathers resources and insights to provide first time practice owners via a client portal.As appropriate, assists in mitigating risk by partnering with Special Asset Division for developing solutions for clients not achieving success.Responsible for developing relationships with clients during regular scheduled phone calls to ensure the client has a sound business plan and is executing to that plan.Services, deepens, and retains assigned profitable customer relationships by pro-actively evaluating and mitigating associated business risks and opportunities, per established Huntington policies, procedures, and Guiding Principles.In this role, you will be expected to:Provide phone coaching, skill development, and feedback to our clients to ensure clients are meeting their business objectivesReview and analyze all customer financial information to ensure the soundness of the businessManage risk on an ongoing basis by monitoring customer ongoing credit worthiness, adherence to loan terms, and general business conditionsEnsure the client provides Monthly KPIs via Huntington's Pulse PortalEffectively transition clients to Special Asset Division as necessaryAssist in gathering loan covenants, collateral exceptions, and assist with annual reviews as requiredAs appropriate, assist in optimizing customer relationships working directly with Relationship Managers, Treasury Management, Capital Markets, and other team membersBasic Qualifications:Bachelor's DegreeMinimum of 3 years of experience in healthcare practice managementPreferred Qualifications:Banking Practice Finance client management experienceExperience in managing a dental, medical, or veterinarian practice.Excellent customer service skills, highly motivated, focused and goal orientedExcellent written and verbal communication skills, including professional grammar and demeanorStrong organizational skills with attention to detail, planning and follow-upAbility to build and expand quality internal and external customer relationships.Previous formalized credit training required preferredProficiency using Microsoft Word and Excel EEO/AA Employer/Minority/Female/Disability/Veteran/Sexual Orientation/Gender Identity Tobacco-Free Hiring Practice: Visit Huntington's Career Web Site for more details. Huntington does not accept solicitation from Third Party Recruiters for any position.
"
6,https://careers.huntington.com/en-US/job/J3N1KN6Y2ZX574SH1ZZ,Branch Relationship Banker 1 ,2/7/2019,Full-Time,Cadillac,Not Specified,"
Job Description
A Relationship Banker is a Financial Concierge for our walk in customers. You are responsible for building customer and business relationships by proactively recommending appropriate deposit, loan and other banking products. When needed, you will also process customer transactions accurately and efficiently in order to provide exemplary customer service but educating customers on bank products, services and technology. Your responsibilities include:Providing excellent customer service and effectively resolving customer issues.Being proficient in understanding and educating customers on consumer deposit products and consumer lending.Driving sales through walk-in customers with a disciplined sales process and using current technology to drive both sales and service.Sourcing referrals from customers, other bank colleagues and partners while educating and referring customers to other areas of the bank to deepen relationships and build a strong partnership.Adhering to all operational, security, risk and regulatory policies and procedures.Demonstrating acumen in sales, customer service, relationship management, banking, investments, consumer lending, business banking, business lending, communication and presentation.Basic Qualifications:High School Diploma1 year customer service in banking, financial services or goal driven retail sales.  Can include military service in an administration, contracting, civil affairs, or similar role. Or Bachelor's Degree Preferred Qualifications: Career minded individuals that want to join an organization where they can gain experience and build a career. Huntington provides career paths and development plans to get you where you want to go.Bachelor's Degree Cash handling skills preferred but not requiredComfort with technology such as mobile services and online banking services is a plus EEO/AA Employer/Minority/Female/Disability/Veteran/Sexual Orientation/Gender Identity Tobacco-Free Hiring Practice: Visit Huntington's Career Web Site for more details. Huntington does not accept solicitation from Third Party Recruiters for any position.
"
7,https://careers.huntington.com/en-US/job/J3M09F6HJHWBVGR4NFM,Commerical Credit Analyst ,2/7/2019,Full-Time,Morgantown,Not Specified,"
Job Description
The Credit Analyst position is an entry point and career development position within the vigorous Middle Market Commercial Banking environment at Huntington. This individual work with clients whose revenues are $20m+ and will learn the essentials of commercial banking though hands on training, team interaction, and online and classroom instruction. This position generally leads to a career in commercial lending either as a portfolio manager or sales executive. In this position you will:Work directly with sales and credit personnel in generating approval documents while also helping to protect the quality of the Bank's loan portfolio.Gathers and analyzes all financial and business information to determine credit worthiness for loans, including the identification of risk or strengths.Prepare a written evaluation of borrowers' financial condition and future outlook.Assist lending officers in assembling other essential components of commercial loan monitoring and review.Prepare written summary of conclusions for loan officers or committees.Ensure covenant compliance.Basic QualificationsBachelor's degreePreferred Qualifications1 year of experience in a high volume industry directly working with Credit loan quality or analysis preferredExperience in the finance or banking industry is preferredDemonstrated confidence, assertiveness, professionalism, ability to interact with all levels, and ability to sell Huntington and its servicesProficiency using Microsoft Word and Excel is requiredAbility to analyze financial data and narrative information quickly and thoroughlyExcellent in customer service, highly motivated, focused, and goal orientedWe're looking for a self-starter, and creative thinker who is who wants to grow with us! EEO/AA Employer/Minority/Female/Disability/Veteran/Sexual Orientation/Gender Identity Tobacco-Free Hiring Practice: Visit Huntington's Career Web Site for more details. Huntington does not accept solicitation from Third Party Recruiters for any position.
"
8,https://careers.huntington.com/en-US/job/J3M4WC6VZ8FFF2LPXTM,Branch Relationship Banker I ,2/7/2019,Full-Time,Stow,Not Specified,"
Job Description
A Relationship Banker is a Financial Concierge for our walk in customers. You are responsible for building customer and business relationships by proactively recommending appropriate deposit, loan and other banking products. When needed, you will also process customer transactions accurately and efficiently in order to provide exemplary customer service but educating customers on bank products, services and technology. Your responsibilities include:Providing excellent customer service and effectively resolving customer issues.Being proficient in understanding and educating customers on consumer deposit products and consumer lending.Driving sales through walk-in customers with a disciplined sales process and using current technology to drive both sales and service.Sourcing referrals from customers, other bank colleagues and partners while educating and referring customers to other areas of the bank to deepen relationships and build a strong partnership.Adhering to all operational, security, risk and regulatory policies and procedures.Demonstrating acumen in sales, customer service, relationship management, banking, investments, consumer lending, business banking, business lending, communication and presentation.Basic Qualifications:High School Diploma1 year customer service in banking, financial services or goal driven retail sales.  Can include military service in an administration, contracting, civil affairs, or similar role. Or Bachelor's Degree Preferred Qualifications: Career minded individuals that want to join an organization where they can gain experience and build a career. Huntington provides career paths and development plans to get you where you want to go.Bachelor's Degree Cash handling skills preferred but not requiredComfort with technology such as mobile services and online banking services is a plus EEO/AA Employer/Minority/Female/Disability/Veteran/Sexual Orientation/Gender Identity Tobacco-Free Hiring Practice: Visit Huntington's Career Web Site for more details. Huntington does not accept solicitation from Third Party Recruiters for any position.
"
9,https://careers.huntington.com/en-US/job/J3M05B76XF2756NVYVS,Senior IT Internal Auditor: Robotic Process Automation ,2/7/2019,Full-Time,Columbus,Not Specified,"
Job Description
Senior IT Internal Auditor: Robotic Process AutomationInternal Audit is seeking a highly motivated individual for a specialized IT Internal Audit role that will focus on Robotic Process Automation.IT Internal Audit is responsible for conducting audits of networks, databases, systems, applications and other technology components to ensure compliance with policies, procedures, industry frameworks, regulations and laws. This position will assist in the planning, execution, and reporting of information technology audits within Huntington Bank, with a focus on robotic process automation. The IT Internal Auditor will be exposed to various technology, audit, risk management, operational, and compliance departments while performing their responsibilities.Responsibilities Include:Evaluating enterprise-wide robotic process automation implementations throughout the lifecycle of an RPA, including strategy design, business case development, testing, and overall governance.Assessing key risk indicators of a bot and the impact to the business.Understanding and documenting IT systems design and architecture, process flows, and business processes in order to identify risks, internal controls, and control gaps.Planning and executing IT audits to assess the design and effectiveness of controls.Evaluating audit results to determine if issues exist and improvement recommendations are necessary.Ensuring audit work papers are documented in a consistent and high quality manner in accordance with department and professional standards and within established timelines.Communication with audit, technology and business management throughout the audit lifecycle.Contributing to the development of the information technology audit team through keeping up with current robotic process automation technologies and projects throughout the bank.Developing key management relationships for ongoing monitoring of their departments.Basic Qualifications:Bachelor's degree required.3 or more years of robotic process automation, information systems, IT audit, or IT risk management experience.Preferred Qualifications:Bachelor's degree preference: Computer Science, Management Information Systems, Information Systems Audit, or Cyber Security.Professional certification (CISA, CIA, etc.) or progress toward certification.Experience with robotic process automation tools (Blue Prism).Knowledgeable about applications of RPA in different business domains.Scripted programming experience is a plus.Experience with IT control evaluation.Ability to work with a team and to meet deadlines.Excellent verbal and written communication skills.Strong analytical and problem solving skills. EEO/AA Employer/Minority/Female/Disability/Veteran/Sexual Orientation/Gender Identity Tobacco-Free Hiring Practice: Visit Huntington's Career Web Site for more details. Huntington does not accept solicitation from Third Party Recruiters for any position.
"
