,,,,,
Technology,Data Warehouse Director,8,,,
,Product Business Analyst,20,,,
,Decision Engine Analyst,5,,,
,Mainframe Engineer,8,,,
,Senior Digital Analyst,13,,,
,EUC OS Platform Engineer,5,,,
,Operation Engineer,10,,,
,Virtualization Engineer,5,,,
,Finance Engineer,5,,,
,Risk Engineer,8,,,
,Network Engineer,12,,,
,Software Engineer,4,,,
,Senior Manager Technology,9,,,
,Mobile API Engineer,13,,,
,Enterprise Cloud Applications,12,,,
,Senior Data Architect,5,,,
,Data architect,13,,,
,Data Technology Director,7,,,
,Lead Salesforce Developer,13,,,
,Others ,50,,,
,,225,225,,
Operation,Lockbox processor,13,,,
,Operation analyst,22,,,
,Wire operation manager,7,,,
,Others,12,,,
,,54,54,,
Investment,Senior project manager,3,,,
,Enterprise Data Services Stewardship Management Lead,18,,,
,Wealth and Investment Relationship Manager,2,,,
,Senior Investment Strategist,2,,,
,Private Banking Loan Portfolio Manager,19,,,
,,44,44,,
Finance,Financial planner,13,,,
,Practice Finance Financial Pulse Specialist,2,,,
,Auto Finance Administrative Support Specialist,2,,,
,Managing Director Healthcare Public Finance,3,,,
,HFA Financial Advisor,2,,,
,Financial Analyst Senior ,2,,,
,Financial Advisor,2,,,
,,26,26,,
banking/accounting,Interest rate risk analyst,2,,,
,Financial system support analyst,2,,,
,Accounts payable tax analyst,2,,,
,Commercial underwriter,6,,,
,Credit support specialist,3,,,
,Others,2,,,
,,17,17,,
Human resource  ,Hr benefits specialist,1,,,
,Hr information consultant,1,,,
,Principal engineer,1,,,
,Other ,1,,,
,,4,4,,
Risk ,Business Unit Risk Analyst,8,,,
,Credit Card Risk Analyst,3,,,
,Segment Risk Manage,7,,,
,,18,18,,
Retail,Retail personal banker,48,,,
,Bank teller,76,,,
,Others,6,,,
,,130,130,,
Relationship,Portfolio Manager,13,,,
,Relationship manager,15,,,
,loan closing manager,3,,,
,Mortgage Warehouse Lending Services,2,,,
,Lending management,10,,,
,,43,43,,
Wealth management,Trust  advisor,5,,,
,Senior investment startegist,2,,,
,Wealth advisor,3,,,
,Wealth planner,2,,,
,Private banking officer,6,,,
,Others,13,,,
,,31,31,,
,,,561,,
