Job Title,Institution,Is Fintech Job,financial,customer,manage,risk,technology,investment,market,bank,asset,data,capital,regulatory,business,service,lending,system,information,fintech,product,model,solution,credit,development,loan,security,analytic,process,firm,experience,operation,share,project,order,audit,api,account,ai,sales
Workforce Analytics Lead,JP Morgan,1,4,0,5,1,10,1,0,0,0,3,0,0,1,2,0,0,1,0,0,0,3,0,3,0,1,4,0,0,6,0,0,0,0,0,0,0,2,0
Workforce Analyst I Manager,JP Morgan,1,1,0,3,0,0,0,0,1,0,2,0,0,7,5,0,1,0,0,0,0,1,0,0,0,0,1,1,0,3,1,0,2,0,0,0,0,5,0
Workforce Analyst II Manager,JP Morgan,1,1,1,11,0,0,0,0,1,0,2,0,1,8,3,0,1,0,0,0,0,1,0,0,0,0,1,3,0,4,2,0,7,0,1,0,0,0,0
Workforce Analyst II Manager,JP Morgan,1,1,1,11,0,0,0,0,1,0,2,0,1,8,3,0,1,0,0,0,0,1,0,0,0,0,1,3,0,4,2,0,7,0,1,0,0,0,0
Women in Technology - Software Engineer Networking evening  Tuesday 12th Feb,JP Morgan,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
WM Client Technology - Software Engineer,JP Morgan,1,2,0,1,0,7,1,0,0,1,3,0,0,3,1,0,1,1,0,1,0,5,0,6,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0
Windows Infrastructure Developer,JP Morgan,1,1,0,6,0,3,0,0,0,0,0,0,0,4,4,0,7,0,0,2,0,2,0,7,0,2,0,2,3,10,1,1,2,0,0,1,0,3,0
Wholesale Credit Analytics Platform  Software Engineer,JP Morgan,1,3,0,2,1,5,1,0,2,2,3,0,2,2,2,0,1,1,0,0,0,1,0,2,0,1,0,2,6,1,1,0,0,0,0,0,0,1,0
We See Ability - Event January 22th  2019 - PWD,JP Morgan,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
WePay IT Business Analyst,JP Morgan,1,2,0,0,0,5,1,0,0,0,2,0,0,5,1,0,1,1,0,2,1,3,0,7,0,1,1,1,1,5,0,0,2,0,0,0,0,3,0
WePay IT Business Analyst,JP Morgan,1,2,0,0,0,5,1,0,0,0,2,0,0,5,1,0,1,1,0,2,1,3,0,7,0,1,1,1,1,5,0,0,2,0,0,0,0,3,0
WePay IT Business Analyst,JP Morgan,1,2,0,0,0,5,1,0,0,0,2,0,0,5,1,0,1,1,0,2,1,3,0,7,0,1,1,1,1,5,0,0,2,0,0,0,0,3,0
WePay IT Business Analyst,JP Morgan,1,2,0,0,0,5,1,0,0,0,2,0,0,5,1,0,1,1,0,2,1,3,0,7,0,1,1,1,1,5,0,0,2,0,0,0,0,3,0
WePay IT Business Analyst,JP Morgan,1,2,0,0,0,5,1,0,0,0,2,0,0,5,1,0,1,1,0,2,1,3,0,7,0,1,1,1,1,5,0,0,2,0,0,0,0,3,0
WePay IT Business Analyst,JP Morgan,1,2,0,0,0,5,1,0,0,0,2,0,0,5,1,0,1,1,0,2,1,3,0,7,0,1,1,1,1,5,0,0,2,0,0,0,0,3,0
Web UI Software Engineer - React/Angular - Asset Management,JP Morgan,1,3,0,2,0,9,1,0,0,1,3,0,0,4,1,0,0,0,0,2,0,5,0,7,0,2,2,1,2,3,0,0,0,0,0,0,0,5,0
