Institution,fin-job,not-finjob
WellsFargo,1392,269
Comerica Inc,259,2
American Express,17,656
M&T Bank,1056,3
Charles Schwab,216,595
Citi Group,139,821
Key Corp Bank,504,16
BB&T Corp,568,4
US Bank,27,1536
Pendi,1,2
BNY Mellon,1010,310
Citizen,735,47
Regions,818,72
Suntrust Bank,1976,54
PNC Bank,22,959
Northern Trust,241,9
Discover Financials,888,3
Bank of America,2997,3
Huntington Bancshares,280,19
Fifth Third Bank,48,2
JP Morgan,7202,27
Capital One,2110,214
Goldman Sachs,40,594
Morgan Stanley,348,561
