Name,Emotion,Lyrics,Prediction
稻香,happy,对这个世界如果你有太多的抱怨,happy
,,跌倒了就不敢继续往前走,
,,为什么人要这么的脆弱 堕落,
,,请你打开电视看看,
,,多少人为生命在努力勇敢的走下去,
,,我们是不是该知足,
,,珍惜一切 就算没有拥有,
,,还记得你说家是唯一的城堡,
,,随着稻香河流继续奔跑,
,,微微笑 小时候的梦我知道,
,,不要哭让萤火虫带着你逃跑,
,,乡间的歌谣永远的依靠,
,,回家吧 回到最初的美好,
,,不要这么容易就想放弃,
,,就像我说的,
,,追不到的梦想 换个梦不就得了,
,,为自己的人生鲜艳上色,
,,先把爱涂上喜欢的颜色,
,,笑一个吧 功成名就不是目的,
,,让自己快乐快乐这才叫做意义,
,,童年的纸飞机,
,,现在终於飞回我手里,
,,所谓的那快乐,
,,赤脚在田里追蜻蜓追到累了,
,,偷摘水果被蜜蜂给叮到怕了,
,,谁在偷笑呢,
,,我靠着稻草人吹着风唱着歌睡着了,
,,哦 哦 午后吉它在虫鸣中更清脆,
,,哦 哦 阳光洒在路上就不怕心碎,
,,珍惜一切 就算没有拥有,
,,还记得你说家是唯一的城堡,
,,随着稻香河流继续奔跑,
,,微微笑 小时候的梦我知道,
,,不要哭让萤火虫带着你逃跑,
,,乡间的歌谣永远的依靠,
,,回家吧 回到最初的美好,
,,还记得你说家是唯一的城堡,
,,随着稻香河流继续奔跑,
,,微微笑 小时候的梦我知道,
,,不要哭让萤火虫带着你逃跑,
,,乡间的歌谣永远的依靠,
,,回家吧 回到最初的美好,
喜欢你,happy,细雨带风湿透黄昏的街道 抹去雨水双眼无故地仰望 望向孤单的晚灯 是那伤感的记忆再次泛起心里无数的思念以往片刻欢笑仍挂在脸上愿你此刻可会知 是我衷心的说声喜欢你 那双眼动人 笑声更迷人愿再可 轻抚你 那可爱面容挽手说梦话 像昨天 你共我满带理想的我曾经多冲动屡怨与她相爱难有自由愿你此刻可会知 是我衷心的说声喜欢你 那双眼动人 笑声更迷人愿再可 轻抚你 那可爱面容挽手说梦话 像昨天 你共我每晚夜里自我独行 随处荡 多冰冷已往为了自我挣扎从不知 她的痛苦喜欢你 那双眼动人 笑声更迷人愿再可 轻抚你 那可爱面容挽手说梦话 像昨天 你共我,sad
红日,happy,命运就算颠沛流离,sad
,,命运就算曲折离奇,
,,命运就算恐吓着你做人没趣味,
,,别流泪 心酸 更不应舍弃,
,,我愿能 一生永远陪伴你,
,,命运就算颠沛流离,
,,命运就算曲折离奇,
,,命运就算恐吓着你做人没趣味,
,,别流泪 心酸 更不应舍弃,
,,我愿能 一生永远陪伴你,
,,HAA… HAA… HAA…,
,,一生之中兜兜转转 那会看清楚,
,,旁徨时我也试过独坐一角像是没协助,
,,在某年 那幼小的我,
,,跌倒过几多几多落泪在雨夜滂沱,
,,一生之中弯弯曲曲我也要走过,
,,从何时有你有你伴我给我热烈地拍和,
,,像红日之火 燃点真的我,
,,结伴行 千山也定能踏过,
,,让晚风 轻轻吹过,
,,伴送着清幽花香像是在祝福你我,
,,让晚星 轻轻闪过,
,,闪出你每个希冀如浪花 快要沾湿我,
,,命运就算颠沛流离,
,,命运就算曲折离奇,
,,命运就算恐吓着你做人没趣味,
,,别流泪 心酸 更不应舍弃,
,,我愿能 一生永远陪伴你,
光辉岁月,happy,钟声响起归家的讯号,happy
,,在他生命里 彷佛带点唏嘘,
,,黑色肌肤给他的意义,
,,是一生奉献 肤色斗争中,
,,年月把拥有变做失去,
